userID,年龄,所在省,所在地,creditedNum,文凭,性别,身高,自我介绍,学历认证,身份认证,手机认证,芝麻信用认证,身份通认证,昵称,照片,恋爱状态,标签,住房,体型,体重,偏爱约会方式,公司性质,公司行业,厨艺状况,本人婚姻状况,要求伴侣婚姻状况,要求伴侣学历,宗教信仰,家中排行,家乡,家务分工,属相,工作状况,希望对方看重,要求伴侣年龄,恋爱类型,想何时结婚,户口,所在地区,所学专业,择偶要求_有无子女,掌握语言,星座,是否吸烟,是否喝酒,是否想要小孩,要求伴侣月收入,月薪,有无子女,期待婚礼形式,母亲工作,毕业学校,民族,父亲工作,父母医保,父母情况,父母经济,生活作息,相貌自评,职业,血型,要求伴侣购房情况,购车,要求伴侣身高
56013059,34,河南,河南郑州,1,本科,男,177,"身高一般、发型传统，相貌过目即忘；性格温和，发了工资会给老婆一部分；少吸烟、不酗酒、不关机、不赌钱、无红颜知己；有责任感，认真工作，热爱家庭，应酬只限于工作上的，月薪2000～5000元，有支付住房首付的能力；从事平凡职业的男人。总之五个字经济适用男想找一个不做作,清爽简单,洗完脸一扎头发就能出门；不拜金,看淡金钱,能自己养活自己；不败家,奉行物美价廉的购物观,会持家过日子；不复杂,感情经历简单,不爱折腾。还是五个字简单方便女",0,0,1,0,0,可有可无,无,已经结婚了,无神论/身材苗条/有房,已购房(无贷款),苗条,,,,交通运输,,已婚,不限,不限,无神论,,,,猪,,,23~26岁,公务员型,,,河南省,,不限,,魔羯座,不吸烟，但不反感,不喝酒,,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",2000-5000,没有,,,,汉族,,,,,,5,其它,,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,163~173厘米
50027250,48,江苏,江苏南通,1,本科,男,171,知爱，懂爱，甘苦与共，平淡与真实中经营生活，淡定睿智中收获快乐和幸福！,0,0,1,0,0,小舟,无,,自信/高管/身材健壮/无神论,,健壮,68,,,计算机/网络,,离异,未婚,不限,无神论,,江苏南通,,狗,,,25~32岁,照顾者型,,,江苏省,,不限,,双鱼座,社交时偶尔吸烟,兴致时小酌,想,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",10000-20000,没有,,,,汉族,,,,,,8,高级经营管理,AB型,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,160~170厘米
55748374,34,河南,河南南阳,1,本科,男,170,我有一所房子，面朝大海，春暖花开。多么诗意的生活。希望能找到我的另一半，甜蜜的生活。,0,0,1,0,0,bruce,有,正在恋爱中,有房/身材高挑/无神论/自信,已购房(无贷款),高挑,60,,,汽车,,未婚,未婚,不限,无神论,,,,鼠,,,20~24岁,主人型,,,河南省,,不限,,白羊座,不吸烟，但不反感,不喝酒,想,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",5000-10000,没有,,,,汉族,,,,,,8,其它,,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,160~168厘米
50030782,42,江苏,江苏苏州,0,本科,男,174,"感性和理智并存,外向和内向同在,幽默和木纳不分的矛盾体.",0,0,0,0,0,会员50030782,有,已经结婚了,无神论/有房/高管,已购房(无贷款),,,,,商业/贸易,,已婚,未婚,不限,无神论,,,,兔,,,26~31岁,艺术家型,,,江苏省,,不限,,天蝎座,烟不离手,兴致时小酌,还没想好,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",5000-10000,没有,,,,汉族,,,,,,,高级经营管理,,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,162~169厘米
53824654,35,河北,河北秦皇岛,2,本科,男,178,独立理性较高的逻辑思维喜欢背着行囊去旅行喜欢去不同的城市去感受不同的人生岁月要我们懂得了太多的东西希望遇到一次心与心碰撞的那,0,1,1,0,1,放飞,无,正在恋爱中,身材匀称/无神论/高管/有房,已购房(有贷款),匀称,72,,,房地产建筑业,,未婚,未婚,不限,无神论,,河北秦皇岛,,猪,,,22~31岁,发明家型,,,河北省,,不限,中文(普通话),金牛座,不吸烟，但不反感,不喝酒,想,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",2000-5000,没有,,,,汉族,,,,,,7,高级经营管理,AB型,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,164~172厘米
55873596,37,福建,福建厦门,1,本科,男,171,我叫小汤，以前总感觉缘分还没有到所以拖到现在，现在我感觉不能那样子了缘分是去争取的要马上行动起来，这样幸福才能掌握在自己的手中．有首诗能体现我“昔日无粮不识花，更无雅兴赏芳华。如今乡镇琼楼起，万紫千红百姓家。,0,0,1,0,0,小汤锅,无,已经结婚了,无神论/身材健壮,,健壮,70,,,交通运输,,已婚,未婚,不限,无神论,,福建龙岩,,猴,,,23~30岁,将军型,,,福建省,,不限,,天蝎座,不吸烟，但不反感,兴致时小酌,,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",2000-5000,没有,,,,汉族,,,,,,6,其它,AB型,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,155~163厘米
53583709,40,安徽,安徽合肥,1,本科,男,172,"我是一名转业的军人.部队十几年的锻炼，在我身上深深打下军人的烙印.忠厚真挚,待人诚恳.希望在这里能找到是相互信任相互尊重相互理解的人生伴侣.",0,0,1,0,0,大涛,无,已经结婚了,无神论/身材匀称/公务员/有房,,匀称,68,,,,,已婚,不限,不限,无神论,,安徽合肥,,蛇,,,20~30岁,公务员型,,,安徽省,,不限,,射手座,,,还没想好,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",,没有,,,,汉族,,,,,,7,,AB型,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,150~172厘米
4156395,40,上海,上海闵行,0,硕士,男,170,有一种感觉总在失眠时，才承认是相思；有一种缘分总在梦醒后，才相信是永恒；有一种目光总在分手时，才看见是眷恋；有一种心情总在离别后，才明白是失落。,0,0,0,0,0,dringking,无,已经结婚了,无神论/有房/科研人员/身材匀称/高学历,已购房(有贷款),匀称,64,,,制造业,,已婚,未婚,不限,无神论,,浙江杭州,,马,,,21~22岁,照顾者型,,,上海市,,不限,中文(普通话),巨蟹座,不吸烟，但不反感,兴致时小酌,想,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",5000-10000,没有,,,,汉族,,,,,,7,科研,A型,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,191~194厘米
66539027,34,黑龙江,黑龙江哈尔滨,3,本科,男,175,有没有一个人看透我的逞强，在乎我的忧伤。,0,1,1,0,1,永远多远,有,已经结婚了,有车/厨艺不错/有房/名校/无神论,已购房(无贷款),丰满,65,彼此相依相偎,国有企业,房地产建筑业,能做几样可口的小菜,已婚,未婚,不限,无神论,独生子女,,看各自闲忙，协商分担,鼠,轻松稳定,性格，心灵,22~29岁,公务员型,两年以内,,黑龙江省,外文类,不限,"中文(普通话),英语,法语",双子座,社交时偶尔吸烟,社交需要喝,想,4000-5000,2000-5000,没有,简单就好，无所谓,,黑龙江大学,汉族,,,母亲健在,,早睡早起,5,翻译,A型,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",已购车,160~170厘米
56673788,30,江苏,江苏南通,0,本科,男,175,牛逼的人走牛逼的路，想认识我的可以和我联系，谢谢！,0,0,0,0,0,汗言,有,,无神论,住单位房,,,,,,,未婚,未婚,不限,无神论,,,,兔,,,18~24岁,公务员型,,,江苏省,,不限,,天秤座,不吸烟，但不反感,不喝酒,,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",2000-5000,没有,,,,汉族,,,,,,,其它,,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,160~170厘米
57481765,35,辽宁,辽宁大连,1,本科,男,179,我可以一个人吃饭；一个人睡觉；一个人逛街；一个人游戏；一个人上班；一个人回家；一个人发呆；一个人思考；一个人欣赏路过的风景；一个人遗憾错过的精彩；一个人读着别人的故事；一个人打发无聊的时间；一个人赶走寂寞的侵袭；一个人抵挡北风的严寒；一个人在跌倒后站起来拍拍身上的灰尘；一个人在受伤后躲起来默默治疗心的创伤；一个人在繁华的都市里找回迷失的自己；一个人在残酷的现实里伪装保护着自己...............所以自己慢慢发现我留的扣扣散灵溜疤琪琪散吧,0,0,1,0,0,笑看余生,有,已经结婚了,自信/身材匀称/无神论,需要时购置,匀称,66,,,营销/市场/策划,,已婚,未婚,不限,无神论,,辽宁大连,,猪,,,20~26岁,照顾者型,,,辽宁省,,不限,,金牛座,社交时偶尔吸烟,兴致时小酌,,"4000-5000,7000-10000,15000-20000,30000-50000",2000-5000,没有,,,,汉族,,,,,,8,其它,其它,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,162~173厘米
54810257,32,北京,北京朝阳,2,本科,男,177,北京人，成人了跑去四川读大学，成都——一个你来了就不想走城市，果然名不虚传！读书16年稀里糊涂就过来了没学出什么名堂来。我感觉应该先工作，以后有社会阅历再去深造吧。毕业后随缘找了份工作，干的还算顺心，而且感觉从基层做起一步步走到现在坐上北京大区部门主管的位子还是很有底气的，无论数主观上还是客观上还有进一步上升的空间。工作上现在还算是有理想的实干派吧。我理想的她最好是北京土著，相貌方面我会在理解的基础上加以欣赏的，当然要是能以欣赏为主就更好了吧。如果她能够拥有天籁般的声音就再好不过了，容貌虽然可以随时间改变，但我希望当我们老去的时候耳边依然传来你那未曾改变的声音。ru,0,1,1,0,1,影壁,无,正在恋爱中,身材匀称/随和/有上进心/工作忙碌/无神论,与父母同住,匀称,80,牵手漫步在公园,上市公司,消费品业,不太会，但愿为心爱的人学习,未婚,未婚,不限,无神论,独生子女,北京朝阳,一起分工合作,牛,偶尔加班,性格，心灵,20~23岁,公务员型,时机成熟时就结婚,,北京市,生物类,不限,中文(普通话),水瓶座,不吸烟，但不反感,社交需要喝,想,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",2000-5000,没有,户外婚礼，温馨浪漫,,四川师大,汉族,,,父母健在,,偶尔熬夜,8,商业零售服务,B型,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",已购车,160~170厘米
